Date,Day,Confirmed,Deaths,Recovered
3/11/2020,1,1,0,0
3/12/2020,2,1,0,0
3/13/2020,3,5,0,0
3/14/2020,4,5,0,0
3/15/2020,5,18,0,0
3/17/2020,6,98,1,0
3/18/2020,7,191,2,0
3/19/2020,8,359,4,0
3/20/2020,9,670,9,0
3/21/2020,10,947,21,0
3/22/2020,11,1236,30,0
3/23/2020,12,1529,37,0
3/24/2020,13,1872,44,0
3/25/2020,14,2433,59,26
3/26/2020,15,3629,75,26
3/27/2020,16,5698,92,42
3/28/2020,17,7402,108,70
3/29/2020,18,9217,131,105
3/30/2020,19,10827,168,162
3/31/2020,20,13531,214,243
4/1/2020,21,15679,277,333
4/2/2020,22,18135,356,415
4/3/2020,23,20921,425,484
4/4/2020,24,23934,501,786
4/5/2020,25,27069,574,1042
4/6/2020,26,30217,649,1326
4/7/2020,27,34109,725,1582
4/8/2020,28,38226,812,1846
4/9/2020,29,42282,908,2142
4/10/2020,30,47029,1006,2423
4/11/2020,31,52167,1101,2965
4/12/2020,32,56956,1198,3446
4/13/2020,33,61049,1296,3957
4/14/2020,34,65111,1403,4799
4/15/2020,35,69392,1518,5674
4/16/2020,36,74193,1643,7089
4/17/2020,37,78546,1769,8631
4/18/2020,38,82329,1890,10453
4/19/2020,39,86306,2017,11976
4/20/2020,40,90980,2140,13430
4/21/2020,41,95591,2259,14918
4/22/2020,42,98674,2376,16477
4/23/2020,43,101790,2491,18491
4/24/2020,44,104912,2600,21737
4/25/2020,45,107773,2706,25582
4/26/2020,46,110130,2805,29140
4/27/2020,47,112261,2900,33791
4/28/2020,48,114653,2992,38809
4/29/2020,49,117589,3018,44022
4/30/2020,50,120204,3174,48886
5/1/2020,51,122392,3258,53808
5/2/2020,52,124375,3336,58259
5/3/2020,53,126045,3397,63151
5/4/2020,54,127659,3461,68166
5/5/2020,55,129491,3520,73285
5/6/2020,56,131744,3584,78202
5/7/2020,57,133721,3641,82984
5/8/2020,58,135569,3689,86396
5/9/2020,59,137115,3739,89480
5/10/2020,60,138657,3786,92691
5/11/2020,61,139771,3841,95780
5/12/2020,62,141475,3894,98889
5/13/2020,63,143114,3952,101715
5/14/2020,64,144749,4007,104030
5/15/2020,65,146457,4055,106133
5/16/2020,66,148067,4096,108137
5/17/2020,67,149435,4140,109962
5/18/2020,68,150593,4171,111577
5/19/2020,69,151615,4199,112895
5/20/2020,70,152587,4222,113987
5/21/2020,71,153548,4249,114990
5/22/2020,72,154500,4276,116111
5/23/2020,73,155686,4308,117602
5/24/2020,74,156827,4340,118694
5/25/2020,75,157814,4369,120015
5/26/2020,76,158762,4397,121507
5/27/2020,77,159797,4431,122793
5/28/2020,78,160979,4461,124369
5/29/2020,79,162120,4489,125963
5/30/2020,80,163103,4515,126984
5/31/2020,81,163942,4540,127973
6/1/2020,82,164769,4563,128947
6/2/2020,83,165555,4585,129921
6/3/2020,84,166422,4609,130852
6/4/2020,85,167410,4630,131778
6/5/2020,86,168340,4648,133400
6/6/2020,87,169218,4669,135322
6/7/2020,88,170132,4692,137969
6/8/2020,89,171121,4711,141380
6/9/2020,90,172114,4729,144598
6/10/2020,91,173036,4746,146839
6/11/2020,92,174023,4763,147860
6/12/2020,93,175218,4778,149102
6/13/2020,94,176677,4792,150087
6/14/2020,95,178239,4807,151417
6/15/2020,96,179831,4825,152364
6/16/2020,97,181298,4842,153379
6/17/2020,98,182727,4861,154640
6/18/2020,99,184031,4882,156022
6/19/2020,100,185245,4905,157516
6/20/2020,101,186493,4927,158828
6/21/2020,102,187685,4950,160240
6/22/2020,103,188897,4974,161533
6/23/2020,104,190165,5001,162848
6/24/2020,105,191657,5025,164234
6/25/2020,106,193115,5046,165706
6/26/2020,107,194511,5065,167198
6/27/2020,108,195883,5082,169182
6/28/2020,109,197239,5097,170595
6/29/2020,110,198613,5115,171809
6/30/2020,111,199906,5131,173111
7/1/2020,112,201098,5150,175422
7/2/2020,113,202284,5167,176965
7/3/2020,114,203456,5186,178278
7/4/2020,115,204610,5206,179492
7/5/2020,116,205758,5225,180680
7/6/2020,117,206844,5241,182995
7/7/2020,118,207897,5260,185292
7/8/2020,119,208938,5282,187511
7/9/2020,120,209962,5300,190390
7/10/2020,121,210965,5323,191883
7/11/2020,122,211981,5344,193217
7/12/2020,123,212993,5363,194515
7/13/2020,124,214001,5382,195671
7/14/2020,125,214993,5402,196720
7/15/2020,126,215940,5419,197733
7/16/2020,127,216873,5440,198820
7/17/2020,128,217799,5458,199834
7/18/2020,129,218717,5475,201013
7/19/2020,130,219641,5491,202010
7/20/2020,131,220572,5508,203002
7/21/2020,132,221500,5526,204011
7/22/2020,133,222402,5545,205214
7/23/2020,134,223315,5563,206365
7/24/2020,135,224252,5580,207374
7/25/2020,136,225173,5596,208477
7/26/2020,137,226100,5613,209487
7/27/2020,138,227019,5630,210469
7/28/2020,139,227982,5645,211561
7/29/2020,140,228924,5659,212557
7/30/2020,141,229891,5674,213539
7/31/2020,142,230873,5691,214535
8/1/2020,143,231869,5710,215516
8/2/2020,144,232856,5728,216494
8/3/2020,145,233851,5747,217497
8/4/2020,146,234934,5765,218491
